Vg, I
0.0,2e-05
0.00500500500501,1e-05
0.01001001001,1e-05
0.015015015015,1e-05
0.02002002002,1e-05
0.025025025025,1e-05
0.03003003003,1e-05
0.035035035035,1e-05
0.04004004004,1e-05
0.045045045045,1e-05
0.0500500500501,1e-05
0.0550550550551,1e-05
0.0600600600601,1e-05
0.0650650650651,2e-05
0.0700700700701,2e-05
0.0750750750751,2e-05
0.0800800800801,2e-05
0.0850850850851,2e-05
0.0900900900901,2e-05
0.0950950950951,2e-05
0.1001001001,2e-05
0.105105105105,2e-05
0.11011011011,2e-05
0.115115115115,2e-05
0.12012012012,2e-05
0.125125125125,2e-05
0.13013013013,2e-05
0.135135135135,2e-05
0.14014014014,2e-05
0.145145145145,2e-05
0.15015015015,2e-05
0.155155155155,2e-05
0.16016016016,2e-05
0.165165165165,2e-05
0.17017017017,2e-05
0.175175175175,2e-05
0.18018018018,2e-05
0.185185185185,2e-05
0.19019019019,2e-05
0.195195195195,2e-05
0.2002002002,2e-05
0.205205205205,2e-05
0.21021021021,2e-05
0.215215215215,2e-05
0.22022022022,2e-05
0.225225225225,2e-05
0.23023023023,2e-05
0.235235235235,2e-05
0.24024024024,2e-05
0.245245245245,2e-05
0.25025025025,2e-05
0.255255255255,2e-05
0.26026026026,2e-05
0.265265265265,2e-05
0.27027027027,2e-05
0.275275275275,2e-05
0.28028028028,2e-05
0.285285285285,2e-05
0.29029029029,2e-05
0.295295295295,2e-05
0.3003003003,2e-05
0.305305305305,2e-05
0.31031031031,2e-05
0.315315315315,2e-05
0.32032032032,2e-05
0.325325325325,2e-05
0.33033033033,2e-05
0.335335335335,2e-05
0.34034034034,2e-05
0.345345345345,2e-05
0.35035035035,2e-05
0.355355355355,2e-05
0.36036036036,2e-05
0.365365365365,2e-05
0.37037037037,2e-05
0.375375375375,2e-05
0.38038038038,2e-05
0.385385385385,2e-05
0.39039039039,2e-05
0.395395395395,2e-05
0.4004004004,2e-05
0.405405405405,2e-05
0.41041041041,2e-05
0.415415415415,2e-05
0.42042042042,2e-05
0.425425425425,2e-05
0.43043043043,2e-05
0.435435435435,2e-05
0.44044044044,2e-05
0.445445445445,2e-05
0.45045045045,2e-05
0.455455455455,2e-05
0.46046046046,2e-05
0.465465465465,2e-05
0.47047047047,2e-05
0.475475475475,2e-05
0.48048048048,2e-05
0.485485485485,2e-05
0.49049049049,2e-05
0.495495495495,2e-05
0.500500500501,2e-05
0.505505505506,2e-05
0.510510510511,2e-05
0.515515515516,2e-05
0.520520520521,2e-05
0.525525525526,2e-05
0.530530530531,2e-05
0.535535535536,2e-05
0.540540540541,2e-05
0.545545545546,2e-05
0.550550550551,2e-05
0.555555555556,2e-05
0.560560560561,2e-05
0.565565565566,2e-05
0.570570570571,2e-05
0.575575575576,2e-05
0.580580580581,2e-05
0.585585585586,2e-05
0.590590590591,2e-05
0.595595595596,2e-05
0.600600600601,2e-05
0.605605605606,2e-05
0.610610610611,2e-05
0.615615615616,2e-05
0.620620620621,2e-05
0.625625625626,2e-05
0.630630630631,2e-05
0.635635635636,2e-05
0.640640640641,3e-05
0.645645645646,3e-05
0.650650650651,3e-05
0.655655655656,3e-05
0.660660660661,3e-05
0.665665665666,3e-05
0.670670670671,3e-05
0.675675675676,3e-05
0.680680680681,3e-05
0.685685685686,3e-05
0.690690690691,3e-05
0.695695695696,4e-05
0.700700700701,4e-05
0.705705705706,4e-05
0.710710710711,4e-05
0.715715715716,4e-05
0.720720720721,4e-05
0.725725725726,4e-05
0.730730730731,4e-05
0.735735735736,4e-05
0.740740740741,5e-05
0.745745745746,5e-05
0.750750750751,5e-05
0.755755755756,5e-05
0.760760760761,5e-05
0.765765765766,5e-05
0.770770770771,5e-05
0.775775775776,6e-05
0.780780780781,6e-05
0.785785785786,6e-05
0.790790790791,6e-05
0.795795795796,6e-05
0.800800800801,6e-05
0.805805805806,6e-05
0.810810810811,7e-05
0.815815815816,7e-05
0.820820820821,7e-05
0.825825825826,7e-05
0.830830830831,7e-05
0.835835835836,8e-05
0.840840840841,8e-05
0.845845845846,8e-05
0.850850850851,8e-05
0.855855855856,9e-05
0.860860860861,9e-05
0.865865865866,9e-05
0.870870870871,9e-05
0.875875875876,0.0001
0.880880880881,0.0001
0.885885885886,0.0001
0.890890890891,0.0001
0.895895895896,0.0001
0.900900900901,0.00011
0.905905905906,0.00011
0.910910910911,0.00011
0.915915915916,0.00012
0.920920920921,0.00012
0.925925925926,0.00012
0.930930930931,0.00012
0.935935935936,0.00013
0.940940940941,0.00013
0.945945945946,0.00013
0.950950950951,0.00014
0.955955955956,0.00014
0.960960960961,0.00014
0.965965965966,0.00014
0.970970970971,0.00015
0.975975975976,0.00015
0.980980980981,0.00015
0.985985985986,0.00016
0.990990990991,0.00016
0.995995995996,0.00016
1.001001001,0.00017
1.00600600601,0.00017
1.01101101101,0.00017
1.01601601602,0.00018
1.02102102102,0.00018
1.02602602603,0.00018
1.03103103103,0.00019
1.03603603604,0.00019
1.04104104104,0.0002
1.04604604605,0.0002
1.05105105105,0.0002
1.05605605606,0.00021
1.06106106106,0.00021
1.06606606607,0.00021
1.07107107107,0.00022
1.07607607608,0.00022
1.08108108108,0.00022
1.08608608609,0.00023
1.09109109109,0.00023
1.0960960961,0.00024
1.1011011011,0.00024
1.10610610611,0.00025
1.11111111111,0.00025
1.11611611612,0.00026
1.12112112112,0.00026
1.12612612613,0.00026
1.13113113113,0.00027
1.13613613614,0.00027
1.14114114114,0.00028
1.14614614615,0.00028
1.15115115115,0.00029
1.15615615616,0.00029
