Vg, I
0.960960960961,-5.98e-05
0.965965965966,-6.13e-05
0.970970970971,-6.29e-05
0.975975975976,-6.44e-05
0.980980980981,-6.6e-05
0.985985985986,-6.76e-05
0.990990990991,-6.92e-05
0.995995995996,-7.08e-05
1.001001001,-7.25e-05
1.00600600601,-7.41e-05
1.01101101101,-7.58e-05
1.01601601602,-7.75e-05
1.02102102102,-7.92e-05
1.02602602603,-8.1e-05
1.03103103103,-8.27e-05
1.03603603604,-8.44e-05
1.04104104104,-8.61e-05
1.04604604605,-8.79e-05
1.05105105105,-8.97e-05
1.05605605606,-9.15e-05
1.06106106106,-9.33e-05
1.06606606607,-9.51e-05
1.07107107107,-9.7e-05
1.07607607608,-9.89e-05
1.08108108108,-0.0001008
1.08608608609,-0.0001027
1.09109109109,-0.0001046
1.0960960961,-0.0001066
1.1011011011,-0.0001086
1.10610610611,-0.0001106
1.11111111111,-0.0001127
1.11611611612,-0.0001147
1.12112112112,-0.0001168
1.12612612613,-0.0001189
1.13113113113,-0.000121
1.13613613614,-0.0001231
1.14114114114,-0.0001253
1.14614614615,-0.0001275
1.15115115115,-0.0001297
1.15615615616,-0.0001318
1.16116116116,-0.000134
1.16616616617,-0.0001362
1.17117117117,-0.0001383
1.17617617618,-0.0001405
1.18118118118,-0.0001427
1.18618618619,-0.000145
1.19119119119,-0.0001472
1.1961961962,-0.0001495
1.2012012012,-0.0001518
1.20620620621,-0.0001541
1.21121121121,-0.0001564
1.21621621622,-0.0001587
1.22122122122,-0.0001612
1.22622622623,-0.0001636
1.23123123123,-0.0001661
1.23623623624,-0.0001686
1.24124124124,-0.0001711
1.24624624625,-0.0001736
1.25125125125,-0.0001764
1.25625625626,-0.000179
1.26126126126,-0.0001816
1.26626626627,-0.0001842
1.27127127127,-0.0001868
1.27627627628,-0.0001894
1.28128128128,-0.0001921
1.28628628629,-0.0001947
1.29129129129,-0.0001973
1.2962962963,-0.0001999
1.3013013013,-0.000202
1.30630630631,-0.000204
1.31131131131,-0.000207
1.31631631632,-0.000209
1.32132132132,-0.000212
1.32632632633,-0.000215
1.33133133133,-0.000218
1.33633633634,-0.00022
1.34134134134,-0.000223
1.34634634635,-0.000226
1.35135135135,-0.000229
1.35635635636,-0.000232
1.36136136136,-0.000235
1.36636636637,-0.000237
1.37137137137,-0.00024
1.37637637638,-0.000243
1.38138138138,-0.000246
1.38638638639,-0.000249
1.39139139139,-0.000252
1.3963963964,-0.000255
1.4014014014,-0.000259
1.40640640641,-0.000261
1.41141141141,-0.000265
1.41641641642,-0.000268
1.42142142142,-0.000271
1.42642642643,-0.000274
1.43143143143,-0.000277
1.43643643644,-0.00028
1.44144144144,-0.000283
1.44644644645,-0.000286
1.45145145145,-0.00029
1.45645645646,-0.000293
1.46146146146,-0.000296
1.46646646647,-0.000299
1.47147147147,-0.000302
1.47647647648,-0.000306
1.48148148148,-0.000309
1.48648648649,-0.000312
1.49149149149,-0.000316
1.4964964965,-0.000319
1.5015015015,-0.000323
